FishDepth,Sdens,Wdens,SsmoothDens,WsmoothDens
-1,0,0,0,0
-2,0,0,0,0
-3,0,0,0,0
-4,0,0,0,0
-5,0,0,0,0
-6,0.000115311951092347,6.60540220673774e-05,0.000131796229791656,5.85459030210171e-05
-7,0.000155017345328585,7.10571190929911e-05,0.00012160945820948,5.04510590780489e-05
-8,0.000178815130098216,2.65009851286141e-05,0.000111238645535338,4.24975841671167e-05
-9,4.8547606581533e-05,3.42211970669381e-05,0.000101115302253743,3.49034359507356e-05
-10,2.92398810644339e-05,3.2768622433009e-05,9.18300163226383e-05,2.78810204516239e-05
-11,0.000100028151796391,1.34329790604102e-05,8.37767008115037e-05,2.15693641400102e-05
-12,9.04253691473013e-05,3.74794435009712e-06,7.67968602884288e-05,1.61104401249897e-05
-13,7.40202631921658e-05,1.2748938439739e-05,7.06688141273461e-05,1.16161496487683e-05
-14,3.43308481845766e-05,5.49196358281941e-06,6.54054357059717e-05,8.05851354306236e-06
-15,0.000100647179569931,2.39120322052478e-06,6.08926332124048e-05,5.38627510892336e-06
-16,7.54849228106721e-05,2.10534097203275e-06,5.70112784959516e-05,3.54117267679185e-06
-17,3.02002147013561e-05,3.73878600363291e-06,5.38427179762695e-05,2.42339140321434e-06
-18,3.15524349953806e-05,0,5.16033266740663e-05,1.91874859615261e-06
-19,2.71328516582274e-05,7.51031496684447e-06,5.04375802082123e-05,1.91574918992415e-06
-20,8.02621900461196e-05,0,5.01117859678672e-05,2.31789348305463e-06
-21,3.83077557561572e-05,3.73236960193037e-06,5.03394887979009e-05,3.03635187069702e-06
-22,3.00169862457609e-05,3.44281642805436e-06,5.0957869725777e-05,3.99564528182963e-06
-23,7.93245953812737e-05,8.50483731094679e-06,5.1671961812267e-05,5.11487794710308e-06
-24,5.68406098663423e-05,1.19037828999151e-05,5.2159244745562e-05,6.31720752782256e-06
-25,6.62414798673251e-05,7.46792733131756e-06,5.22012865640793e-05,7.56213240353183e-06
-26,5.81723821617892e-05,4.41062683771365e-06,5.17570812464902e-05,8.85869503977411e-06
